strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR3891008	Klebsiella pneumoniae	strong	255	146293	325640	5859109	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891009	Klebsiella pneumoniae	strong	311	140643	325516	5816658	no	-	ST2096	4	1	9	15	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891010	Klebsiella pneumoniae	strong	428	172731	305623	5699004	no	-	ST147	0	3	11	12	-	0	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O2ac	none	Very high	98.64%		aac(6')-Ib-cr.v2	-	-	-	-	ereA2;ereB	CatB4.v1?;catA1*	arr-2	sul1	-	-	dfrA5	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	OmpK36-10%	MgrB-0%	GyrA-83I;ParC-80I	-	-	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtU_13*-0%
ERR3891011	Klebsiella pneumoniae	strong	475	168655	340371	5750580	no	-	ST377	1	3	8	10	ybt 13; ICEKp2 (truncated)	299-3LV	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.45%		O1/O2v2	O2afg	none	Very high	98.54%		aac(3)-IIa.v1^;aadA^;strA.v1;strB.v1	-	-	-	-	-	catA1*	-	sul1*?;sul2	-	-	dfrA15.v2	-	-	CTX-M-15	-	OXA-48	SHV-110	156D;35Q	-	MgrB-51%	GyrA-83Y;GyrA-87A;ParC-80I	-	TEM-150*?-0%	ST377	10	20	2	1	9	11	12	6	4	20	14	1	126*-46%	327	2	4	52*	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891012	Klebsiella pneumoniae	strong	391	144109	502351	5637933	no	-	ST14	1	1	9	17	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*;sat-2;strA.v1*;strB.v1*	-	-	-	-	ereA2*	CatB4.v1?;catA1^;cmlA5	arr-2	sul1*;sul2	-	-	dfrA1.v1	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	GyrA-83Y;GyrA-87G;ParC-80I	SHV-11.v1*?-0%	OXA-163*?-51%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891013	Klebsiella pneumoniae	strong	612	174260	395827	5662499	no	-	ST45	1	3	8	8	ybt 10; ICEKp4	78-1LV	-	0	-	0	-	0	-	0	-	wzi121	KL43	K43	?-	Good	99.41%	KL43_15_wcpZ	O1/O2v1	O2a	none	Very high	98.80%		aadA*	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	-	-	-	dfrA14.v2*	OXA-1;OXA-9.v1	-	CTX-M-15	-	OXA-48	SHV-1	-	OmpK36-59%	MgrB-81%	-	TEM-104?-0%;aac(6')-Ib-cr.v2?-0%	aac(3)-IIa.v1?-0%;aph(6)-Id.v2*?-0%;strA.v1?-0%	ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891014	Klebsiella pneumoniae	strong	308	144515	521991	5858954	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	-	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891015	Klebsiella pneumoniae	strong	490	210889	528045	5501064	no	-	ST610	1	2	9	13	ybt 9; ICEKp3	209-1LV	-	0	-	0	-	0	-	0	-	wzi305	KL55	K55	*	Very high	96.22%		O3/O3a	O3/O3a	*	Very high	95.50%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1^;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	-	ST610	4	5	1	29	1	4	23	5	19	6	5	1	51*	48	9	5	5	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891016	Klebsiella pneumoniae	strong	431	173353	591124	5609975	no	-	ST15	1	1	9	10	ybt 10; ICEKp4	104-1LV	-	0	-	0	-	0	-	0	-	wzi151	KL48	K48	*	High	94.78%		O1/O2v1	O1	none	Very high	98.02%		aac(6')-Ib-cr.v2;aadA2^	-	-	-	-	mphA	CatB4.v1?	-	sul1	tet(A).v1	-	dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-28.v1^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	-	-	ST15	1	1	1	1	1	1	1	3	3	4	3	17	56	7	18	3	3	32*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891017	Klebsiella pneumoniae	strong	1117	127710	351098	5745847	no	-	ST4998	0	1	6	7	-	0	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	?-	Good	99.98%	KL17_12_wcaJ	O1/O2v1	O1	none	Very high	98.02%		aadA2^	-	-	-	-	mphA	-	-	sul1;sul2	tet(D)	-	dfrA12	-	-	CTX-M-15	-	-	SHV-1^	-	-	-	-	aac(3)-IId*?-0%;sat-2?-88%;strB.v1*?-0%	NDM-16?-0%;OXA-163*?-64%;TEM-150?-0%;aac(6')-Ib-cr.v1*?-0%;aadA23*?-0%;ermB.v2*?-0%	ST4998	2	1	1	3	9	25	15	-	-	1*-86%	-	-	-	-	14*-88%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtE_101*-0%;ybtX_10*-56%;ybtS_109*-0%
ERR3891018	Klebsiella pneumoniae	strong	427	112471	502351	5958108	no	-	ST14	1	2	10	22	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*;aadA2^;aph(3')-VI?;armA;sat-2	-	-	-	-	ereA2*;ermB.v1*;mphE.v2^;msrE	CatB4.v1?;catA1^;cmlA5	arr-2	sul1	-	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	-	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	SHV-11.v1*?-0%;tet(X6)*-25%	-	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891019	Klebsiella pneumoniae	strong	474	155503	482122	5760067	no	-	ST405	1	1	8	12	ybt 13; ICEKp2	500-3LV	-	0	-	0	-	0	-	0	-	wzi424	KL151	unknown (KL151)	none	Very high	99.22%		O4	O4	none	Very high	99.70%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	SHV-76^	35Q	-	-	-	-	fosA7*?-0%	ST405	2	1	62	3	10	4	110	6	4	131*	134*	1	323	367*	2	4	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891020	Klebsiella pneumoniae	strong	768	186877	440169	5700467	no	-	ST45	1	2	6	8	ybt 10; ICEKp4	78-1LV	-	0	-	0	-	0	-	0	-	wzi121	KL43	K43	?-	Good	99.41%	KL43_15_wcpZ	O1/O2v1	O2a	none	Very high	98.80%		aadA*	-	-	-	-	-	CatB4.v1?	-	-	-	-	dfrA1.v1	OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-1	-	-	-	-	aac(6')-Ib-cr.v2?-0%	qnrB1.v2?-0%;sat-2*?-51%;sul1?-0%;sul2*?-0%	ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891021	Klebsiella pneumoniae	strong	499	121884	502351	5966485	no	-	ST14	1	2	9	20	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(3)-IId^;aac(6')-Ib-cr.v2;aph(3')-VI;armA;sat-2;strA.v1*;strB.v1*	-	-	-	-	ermB.v1*;mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1;sul2	-	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	-	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	SHV-11.v1*?-0%;tet(X6)*-25%	aadA23*?-0%;aadA8b?-78%;qnrS10?-0%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891022	Klebsiella pneumoniae	strong	970	162202	497915	5872017	no	-	ST101	1	3	9	12	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	0	-	wzi137	KL17	K17	none	Very high	99.99%		O1/O2v1	O1	none	Very high	98.00%		aac(6')-Ib'.v1;aadA*;aph(3')-VI	-	-	qnrS1	-	mphA	-	-	-	tet(D)	-	dfrA14.v2*	OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1;OXA-232	SHV-1^	-	OmpK35-17%;OmpK36GD	MgrB-62%	GyrA-83Y;GyrA-87N;ParC-80I	-	OXA-1?-0%;aac(3)-IIa.v1*?-0%	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	107	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891023	Klebsiella pneumoniae	strong	373	139960	276091	5925399	no	-	ST14	1	2	9	16	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	?	Good	99.73%		O1/O2v1	O1	none	Very high	99.99%		aac(3)-IId^;aac(6')-Ib-cr.v2;aph(3')-VI?;armA;sat-2	-	-	-	-	ermB.v1*;mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	CTX-M-15	-	NDM-1	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	tet(X6)*-25%	aadA23*?-0%;aadA8b?-78%;aph(6)-Id.v2?-0%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891024	Klebsiella pneumoniae	strong	489	177647	395414	5772818	no	-	ST307	0	3	8	7	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	unknown (KL102)	none	Very high	99.27%		O1/O2v2	O2afg	none	Very high	98.45%		aac(3)-IIa.v1*;aadA2	-	-	-	-	ereA*	catA1^	-	sul1	-	-	dfrA32	-	-	-	-	OXA-48	SHV-28.v1^	-	-	MgrB-6%	GyrA-83I;ParC-80I	-	-	ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891025	Klebsiella pneumoniae	strong	420	112471	353761	5951811	no	-	ST14	1	2	9	17	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(3)-IId^;aac(6')-Ib-cr.v2;aadA2^;aph(3')-VI?;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1	-	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	SHV-11.v1*?-0%	OXA-245*?-0%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891026	Klebsiella pneumoniae	strong	379	141832	353759	5835132	no	-	ST14	1	2	9	17	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(6')-Ib-cr.v2;aadA2^;aph(3')-VI;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1;OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891027	Klebsiella pneumoniae	strong	342	146218	521875	5896412	no	-	ST2096	4	2	10	17	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	NDM-11*?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891028	Klebsiella pneumoniae	strong	233	129839	353761	5676743	no	-	ST14	0	3	9	14	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(6')-Ib-cr.v2;aadA2^;aph(3')-VI;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	NDM-1	SHV-28.v1^	-	OmpK36GD	MgrB-2%	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
