Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
ERR3891113	30729	1863	6	0	0	0	9501524	3106466	37400	0	0	0	4331	8291	4844841	56.4	1256	622	1520.3	1253	3461	0
ERR3891111	25253	1887	10	0	0	0	8755200	3218489	65548	0	0	0	4370	9944	4962791	56.56	1283	625	1587.1	1237	3483	0
ERR3891119	23274	1914	14	0	0	0	8566988	3296941	83993	0	0	0	4441	8266	5072247	56.5	1295	619	1607.8	1243	3530	0
ERR3891047	22159	1983	16	1	0	0	8428226	3549701	112343	14722	0	0	4311	14722	5198298	56.56	1398	639	1749.5	1180	3393	0
ERR3891060	23149	1951	23	0	0	0	8613702	3533573	134975	0	0	0	4203	7111	5125588	56.52	1417	642	1769.4	1129	3299	0
ERR3891067	22955	2087	21	1	0	0	8697232	3799906	135767	10856	0	0	4362	10856	5404892	56.5	1457	643	1802.7	1177	3409	0
ERR3891049	19725	2078	24	0	0	0	8110843	3834763	140573	0	0	0	4214	7812	5355103	56.58	1498	666	1838.5	1129	3285	0
ERR3891061	18280	2001	46	1	0	0	7965142	3929137	284593	14050	0	0	4068	14050	5393554	56.55	1591	667	2038.4	1030	3138	0
ERR3891118	18761	2063	36	1	0	0	8020063	4011414	220653	10267	0	0	4022	10267	5405705	56.6	1626	677	2008.2	1037	3097	0
ERR3891098	17487	1984	44	2	0	0	7681889	3983431	282753	20957	0	0	3711	10727	5219288	57.1	1740	705	2146.7	942	2832	0
ERR3891050	12443	2083	87	4	0	0	7210081	4648933	597408	55569	0	0	3399	17464	5601805	56.71	2123	804	2698.3	813	2521	0
ERR3891091	1268	214	151	119	78	34	5858656	5587565	5428261	5187704	4452827	2929196	253	174354	5615424	56.77	57111	13902	63904.8	32	108	0
ERR3891222	656	262	121	91	60	41	6248841	6107201	5811474	5601396	5069455	4437931	379	247929	6188384	56.41	90955	11126	98743.2	22	89	0
ERR3891037	1052	309	106	75	52	35	6041444	5754089	5302881	5093415	4693120	4137525	470	404383	5869710	56.95	93909	5178	116629.3	19	103	0
ERR3891209	382	142	89	75	62	39	5851418	5804552	5682376	5572740	5350171	4524722	158	325142	5815967	56.77	95648	29959	120566.2	18	58	0
ERR3891171	1360	220	105	87	60	36	6377234	5990206	5723820	5598623	5169091	4359650	362	289703	6084123	56.59	97989	13828	120363.1	18	77	0
ERR3891198	1108	288	94	73	50	40	6176392	5889592	5484842	5340353	4977485	4617505	421	267179	5986334	56.84	99591	7725	116124.7	18	79	0
ERR3891163	718	142	84	69	57	36	6015130	5830526	5708241	5600970	5397272	4648167	222	502371	5884889	56.77	105159	27401	160612.8	15	54	0
ERR3891183	364	113	78	68	55	42	5799378	5751678	5681537	5611166	5384414	4936397	126	301170	5761224	56.84	107964	34393	128736	17	49	0
ERR3891211	205	100	73	66	54	39	5520419	5499153	5437504	5382040	5169338	4641187	109	387525	5505184	57.32	112283	34349	134902.8	16	47	0
ERR3891226	229	98	72	66	55	38	5527928	5501410	5445927	5398521	5204271	4603534	104	326143	5505783	57.32	112283	34349	138014	15	47	0
ERR3891018	427	133	84	71	56	36	5958108	5881052	5768169	5665259	5389954	4671003	152	502351	5895021	56.68	112471	27135	155496.6	16	53	0
ERR3891025	420	120	78	70	55	36	5951811	5868545	5774957	5718037	5442767	4754718	141	353761	5884652	56.71	112471	31083	149232.3	15	50	0
ERR3891181	860	108	74	64	56	40	5997592	5758245	5694297	5623251	5470821	4900783	173	326187	5801981	56.84	112471	35887	138097.2	16	48	0
ERR3891214	279	110	74	65	55	40	5775977	5744404	5654920	5583654	5415292	4856061	119	458199	5750906	56.79	118058	41008	152796.2	16	48	0
ERR3891021	499	130	83	72	57	37	5966485	5871457	5768060	5687637	5432320	4717359	151	502351	5886712	56.7	121884	30695	149983.2	16	53	0
ERR3891044	462	117	75	68	56	41	5890902	5783243	5695041	5648090	5421757	4873418	154	289442	5807835	56.54	122954	34327	127496.8	17	50	0
ERR3891055	560	118	78	68	53	36	5773069	5655089	5577663	5509791	5274058	4629536	138	252996	5667981	56.97	123183	34393	128372.3	16	47	0
ERR3891225	184	92	66	60	52	37	5517726	5498919	5443081	5397587	5243562	4717221	99	515286	5503816	57.33	125294	37596	165505.6	14	43	0
ERR3891217	284	101	74	65	57	43	5827810	5798260	5738559	5664624	5523441	5038493	111	357886	5805109	56.74	125908	41706	133688.2	17	48	0
ERR3891074	503	156	92	75	59	36	6167160	6062635	5922923	5794051	5536474	4739720	192	354497	6087218	56.57	125957	27135	143419.5	15	57	0
ERR3891126	3151	117	66	58	47	36	6377421	5512220	5409235	5346652	5160082	4749553	228	299020	5583551	57.01	127519	37662	149306.6	14	43	0
ERR3891203	332	111	78	68	51	39	5773628	5735726	5658871	5587101	5298784	4903226	126	282946	5746022	56.71	129408	31778	136504.8	16	47	0
ERR3891117	646	116	74	66	51	39	6003796	5851240	5756279	5700728	5423292	4959785	155	449720	5877140	56.49	129551	37748	150193.2	16	47	0
ERR3891207	216	96	65	59	53	42	5740265	5716947	5646613	5594867	5483294	5069369	103	521852	5721787	56.78	129801	44908	159138.2	15	44	0
ERR3891230	255	98	67	60	53	41	5688157	5656045	5582332	5530774	5414944	4988235	106	521730	5661007	56.95	129801	42188	154422.2	16	44	0
ERR3891028	233	104	74	64	52	36	5676743	5644046	5582178	5506353	5306749	4717341	115	353761	5651968	56.91	129839	35888	151669.7	14	45	0
ERR3891176	838	141	81	68	55	36	6073831	5847871	5716175	5619730	5395467	4699131	220	502345	5901146	56.77	129839	29056	154712.4	15	52	0
ERR3891200	764	142	75	62	52	39	6068815	5860996	5719397	5625891	5455656	5026140	232	466804	5922292	56.73	129839	30003	157145.9	15	48	0
ERR3891039	421	107	73	65	55	37	5844240	5760787	5690568	5631663	5442929	4789293	124	326087	5772776	56.8	129844	35891	134113.8	16	47	0
ERR3891144	499	117	81	67	53	37	5856405	5746005	5667059	5568601	5333789	4758911	145	326187	5765301	56.84	129844	31083	140409.2	15	48	0
ERR3891139	5069	134	74	65	54	35	7279808	5853532	5730823	5656921	5486866	4789672	295	325345	5953111	56.59	129845	30002	147481.7	15	50	0
ERR3891148	6365	111	65	59	50	37	7590329	5692440	5586654	5543417	5393695	4891705	393	325344	5865440	56.55	129930	34393	146958.7	15	47	0
ERR3891142	485	113	71	62	52	37	5855512	5751590	5648447	5587865	5409764	4875370	130	341738	5762991	56.83	129967	35493	157092	13	45	0
ERR3891083	509	106	76	63	50	36	5976547	5866287	5803543	5707137	5480302	4980738	120	444637	5875979	56.77	130063	33795	169205.6	13	44	0
ERR3891215	177	71	53	51	48	37	5448825	5427318	5384957	5367317	5313452	4879274	81	521730	5434355	57.32	132332	46434	176352.8	13	38	0
ERR3891177	722	139	84	64	50	37	6094639	5898988	5782761	5648169	5427247	4958699	218	515711	5949999	56.68	132912	30003	171229.4	14	48	0
ERR3891204	292	107	72	62	53	40	5809973	5781606	5703616	5624774	5464259	4988269	114	521846	5786428	56.77	133346	41701	160534.4	15	45	0
ERR3891038	947	167	71	61	48	38	6210510	5934765	5749225	5672870	5478907	5110806	311	353697	6033690	56.6	133451	26222	150574.8	15	47	0
ERR3891216	172	76	56	54	49	37	5459895	5441308	5398797	5381157	5290517	4822443	81	521730	5444815	57.32	133655	44462	174982.3	13	39	0
ERR3891228	261	92	64	60	51	39	5746681	5719709	5657828	5626435	5457408	4999754	100	521852	5725465	56.8	134569	42188	173090.5	14	43	0
ERR3891231	262	90	63	58	50	37	5747188	5716979	5657850	5617586	5464422	4973765	99	521730	5723112	56.79	134690	41041	192549.5	13	42	0
ERR3891195	864	118	65	59	50	40	6099654	5860367	5760766	5713815	5580053	5233370	187	521774	5905854	56.73	134734	42159	176403.2	14	42	0
ERR3891155	5528	149	71	62	51	37	7424262	5829526	5660485	5588722	5403792	4874605	336	325634	5943924	56.55	134937	30739	142034.6	16	49	0
ERR3891138	1042	123	77	66	48	34	5933697	5672416	5577626	5497032	5214923	4677864	164	297789	5699061	56.96	134953	31199	141567.7	15	45	0
ERR3891202	868	127	68	59	51	42	6072756	5819743	5712690	5642208	5515599	5206325	234	271019	5890436	56.75	134998	40969	136734.5	16	45	0
ERR3891017	1117	116	54	49	44	38	5745847	5420000	5314756	5279820	5189987	4991123	254	351098	5512575	57.36	135865	51142	151988.2	14	38	0
ERR3891159	1284	107	67	60	50	39	5969766	5651215	5569782	5517438	5351644	4992081	141	310124	5675473	57.02	138407	37297	142791.3	15	42	0
ERR3891136	923	134	81	65	53	36	6033966	5792869	5669952	5550802	5351032	4751407	201	326275	5837812	56.75	138739	30386	146382.3	14	50	0
ERR3891023	373	120	85	72	57	36	5925399	5853450	5777347	5681433	5425686	4630542	136	276091	5865253	56.72	139960	34240	131204	16	52	0
ERR3891131	598	99	70	61	51	37	5955615	5814034	5747403	5678728	5518632	4999915	119	325634	5827334	56.73	140186	41750	153057.2	14	43	0
ERR3891166	1331	134	69	61	48	40	6216727	5834665	5707521	5653190	5437158	5193572	269	310114	5921947	56.64	140191	33517	147661.7	15	44	0
ERR3891189	545	113	71	63	53	34	5720331	5588518	5501025	5444740	5246692	4583681	148	388031	5611960	57.26	140204	31083	147840	15	47	0
ERR3891006	674	78	61	55	48	36	5587935	5432035	5394218	5353930	5229628	4834542	104	285174	5448853	57.24	140345	41091	143719.7	15	38	0
ERR3891160	830	108	79	70	59	35	5936197	5744672	5678581	5616235	5424951	4574501	124	326065	5755728	56.84	140346	31083	145279.6	14	51	0
ERR3891221	379	94	68	61	51	38	5853901	5816659	5759911	5703935	5548029	5105936	105	394286	5825012	56.73	140599	41515	154203.9	15	42	0
ERR3891009	311	93	62	57	49	38	5816658	5762518	5694035	5651713	5525105	5138572	99	325516	5766303	56.78	140643	44103	152324.9	15	40	0
ERR3891046	366	97	64	59	49	36	5758646	5671217	5599145	5555289	5387710	4924300	134	376754	5695366	56.84	140643	38556	161228	13	41	0
ERR3891048	415	93	63	56	47	35	5818347	5730632	5662329	5604307	5450486	5001753	105	376754	5737984	56.78	140643	41750	167633.5	13	39	0
ERR3891199	844	124	68	57	48	35	6103851	5887958	5768690	5681599	5531234	5049602	188	698164	5932108	56.68	140643	37640	218677.1	12	42	0
ERR3891187	456	136	82	70	55	35	5899849	5825329	5704803	5612341	5362845	4663755	153	353871	5837042	56.75	140644	30003	144080.2	15	51	0
ERR3891077	1110	96	66	60	49	38	5680243	5405094	5342898	5294397	5120930	4712798	135	268593	5430943	57.45	140773	40047	135685.3	15	42	0
ERR3891121	385	102	70	61	51	37	5894461	5821256	5749902	5677566	5519170	5001268	111	325634	5827695	56.72	141098	41750	153093.6	14	43	0
ERR3891133	587	80	60	55	48	37	5848909	5707589	5663017	5623334	5495679	5062674	97	325634	5718027	56.8	141163	44702	158180.4	14	39	0
ERR3891212	186	72	56	54	48	35	5326855	5305705	5272936	5257686	5145121	4678874	79	428497	5310430	57.53	141259	44052	161100.7	13	38	0
ERR3891154	831	101	70	61	51	37	6009124	5820364	5748219	5677538	5519099	5001227	107	325634	5824594	56.73	141413	41750	153165.8	14	43	0
ERR3891134	730	103	70	61	50	33	5991423	5821184	5739641	5668967	5492365	4840957	122	325344	5833231	56.72	141515	38480	157264.2	14	43	0
ERR3891080	497	109	69	64	52	34	5740607	5633083	5537866	5503347	5285971	4638195	128	316721	5645135	56.88	141815	31307	152194.4	13	46	0
ERR3891026	379	102	73	65	54	36	5835132	5754590	5694615	5635714	5428756	4772022	126	353759	5771353	56.8	141832	34457	146080.4	15	47	0
ERR3891045	478	109	77	63	50	36	5970402	5869780	5806472	5703312	5476477	4976767	126	355537	5880840	56.78	142520	33795	157770.9	14	44	0
ERR3891186	668	63	48	46	44	33	5427981	5230855	5203520	5188837	5144075	4771028	123	428777	5269955	57.59	144105	55996	177288.8	12	33	0
ERR3891012	391	100	68	59	49	35	5637933	5566030	5488990	5422981	5245299	4774304	111	502351	5573756	57.27	144109	35544	178995.4	12	42	0
ERR3891035	510	160	91	73	59	32	5985143	5869471	5723905	5598855	5348853	4379093	210	325616	5906548	56.63	144280	26222	128886.4	16	58	0
ERR3891122	480	93	65	58	49	37	5841334	5739950	5671251	5613682	5465672	5026586	105	310413	5747319	56.77	144289	41750	151595.2	14	41	0
ERR3891129	1308	92	62	57	50	37	6068236	5732009	5665637	5627249	5507009	5016279	122	310413	5750476	56.76	144289	42204	150587.3	14	41	0
ERR3891152	631	91	61	57	50	38	5867490	5725144	5659053	5628359	5508713	5064395	100	325633	5731706	56.78	144289	42204	151745.2	14	41	0
ERR3891003	395	93	62	57	49	39	5847608	5766129	5695733	5659079	5532422	5185651	108	524493	5776247	56.78	144292	44704	172104.4	14	40	0
ERR3891128	1363	88	59	54	47	35	6091159	5726027	5666321	5625255	5504273	5039872	142	521896	5762284	56.76	144292	42593	192004.8	12	39	0
ERR3891151	1300	75	55	52	45	32	5712221	5369581	5326518	5302518	5176018	4688849	118	325343	5395575	57.37	144292	42159	155988.2	13	36	0
ERR3891140	1116	132	66	54	42	34	5811744	5539948	5381112	5299167	5075895	4789154	164	319164	5560652	57.21	144298	34093	152825.9	13	40	0
ERR3891156	933	86	60	55	48	37	5956334	5722369	5667203	5630724	5509205	5087096	117	325634	5741670	56.78	144512	44703	159604	14	39	0
ERR3891014	308	104	65	58	51	38	5858954	5802849	5712201	5661056	5545362	5093270	112	521991	5808154	56.76	144515	41052	170673.6	14	42	0
ERR3891041	303	93	62	57	47	34	5786986	5730385	5659303	5615447	5449441	4974812	105	428491	5738807	56.78	144525	40969	176972.6	12	39	0
ERR3891041	303	93	62	57	47	34	5786986	5730385	5659303	5615447	5449441	4974812	105	428491	5738807	56.78	144525	40969	176972.6	12	39	0
ERR3891069	432	89	60	56	45	35	5774810	5679180	5611841	5581637	5385659	5023032	104	377768	5689744	56.84	144525	41746	165866.6	13	38	0
ERR3891109	649	93	61	55	46	34	5866576	5709263	5634193	5586639	5433756	4985153	118	376754	5726226	56.79	144525	41750	170154.3	13	38	0
ERR3891088	352	93	62	55	46	34	5797089	5729934	5655385	5599302	5449995	5001800	102	376754	5735727	56.78	144586	41750	178157.1	12	38	0
ERR3891168	1514	347	69	53	43	35	6313431	5828408	5312667	5212945	5078928	4803886	681	368238	6060982	56.96	144699	2747	142794.1	15	109	0
ERR3891090	448	95	65	61	48	35	5827378	5733406	5663437	5631396	5399276	4918544	109	377767	5742824	56.79	144795	40276	159738	13	41	0
ERR3891124	1621	109	73	64	52	36	6222775	5817166	5735592	5662223	5481416	4881622	130	324914	5831130	56.72	144825	39065	151728.8	14	45	0
ERR3891075	1245	136	63	52	41	32	5831223	5526503	5348228	5265070	5096670	4762165	186	329385	5560343	57.43	145511	34359	161815.7	12	38	0
ERR3891229	132	61	49	47	45	33	5293002	5282196	5257281	5245543	5200983	4786204	62	326022	5283016	57.54	145954	59901	165370.4	13	33	0
ERR3891146	810	100	65	58	49	34	5914914	5704353	5629667	5577394	5397958	4869441	152	502350	5737151	56.86	146100	35598	175880.9	13	42	0
ERR3891192	488	97	66	59	49	38	5927966	5814012	5747317	5691855	5535936	5145029	126	353979	5833478	56.74	146100	42159	158486.3	14	41	0
ERR3891196	432	100	62	55	47	36	5927736	5832421	5752884	5693718	5566414	5182834	119	353758	5845133	56.73	146100	42204	167085.6	13	38	0
ERR3891220	286	81	60	52	43	37	5742587	5700613	5662679	5609310	5446025	5250493	95	354103	5709728	56.85	146178	74751	161492.1	14	36	0
ERR3891027	342	97	64	57	47	36	5896412	5826182	5746125	5689617	5539398	5131527	110	521875	5835007	56.73	146218	42204	188428.1	13	39	0
ERR3891007	524	97	65	57	49	36	5943903	5814531	5741829	5678548	5548289	5085068	128	428800	5834622	56.74	146293	41750	164720.3	14	40	0
ERR3891008	255	96	62	57	50	39	5859109	5821606	5745708	5703967	5595051	5221393	104	325640	5827241	56.74	146293	44704	151378.7	15	40	0
ERR3891032	426	83	55	52	45	35	5576444	5486854	5425386	5398826	5285637	4939829	92	524392	5492460	57.31	146293	44704	188814.5	12	36	0
ERR3891031	476	74	53	48	43	34	5772667	5662529	5616650	5580249	5499315	5149775	96	521990	5676123	56.86	146294	51382	200589.6	11	34	0
ERR3891034	720	62	44	44	42	35	5628508	5425803	5391146	5391146	5359307	5097900	107	521875	5455657	57.33	146294	72112	191944.5	12	32	0
ERR3891127	957	88	60	55	47	36	5970648	5732653	5668904	5627911	5489837	5072457	105	325344	5743474	56.77	146294	42204	161076.2	14	39	0
ERR3891147	608	81	58	54	47	36	5854490	5718996	5667736	5637691	5506037	5086597	92	325634	5726011	56.79	146294	44704	163269.5	13	38	0
ERR3891149	319	82	57	54	47	37	5777878	5718424	5662571	5638348	5513486	5144244	91	325634	5723948	56.8	146294	44704	163559.7	13	38	0
ERR3891157	1021	97	65	57	48	35	6090000	5823127	5750594	5688455	5549756	5070275	140	353760	5851802	56.7	146294	41747	168916	13	40	0
ERR3891219	235	67	51	51	46	40	5611619	5584107	5548816	5548816	5475798	5284011	78	366803	5591344	57.23	146398	59533	163752.1	13	36	0
ERR3891223	668	123	64	54	45	37	5879302	5794773	5681763	5610025	5435102	5150474	153	354334	5816284	56.75	146562	44524	155628	14	39	0
ERR3891057	368	108	74	62	52	31	5778815	5709367	5629005	5543888	5360269	4609786	122	326087	5718792	56.81	146606	33069	161061.7	13	45	0
ERR3891079	339	91	64	59	47	33	5792427	5727674	5663391	5622224	5406775	4891737	104	428622	5736783	56.79	146606	38556	172878.2	12	40	0
ERR3891089	451	82	56	54	47	32	5717091	5605866	5550729	5532875	5407689	4874588	112	377768	5626075	57.05	146606	40969	172904.8	12	37	0
ERR3891100	291	88	60	54	45	33	5784569	5728104	5660792	5612832	5459790	5026009	104	521086	5738228	56.78	146606	41750	194117.6	12	37	0
ERR3891105	302	89	60	54	45	33	5785718	5727602	5658599	5611373	5458341	5010965	102	376754	5735891	56.78	146606	41750	172416.7	12	37	0
ERR3891123	775	100	68	59	48	35	5991900	5815378	5736936	5665038	5489436	5018654	110	325634	5821958	56.74	146606	38425	158208.6	14	41	0
ERR3891205	345	109	76	65	47	35	5788740	5746314	5668324	5592029	5289642	4893972	127	370067	5758866	56.69	150732	31778	157861.5	13	43	0
ERR3891179	712	113	64	53	42	31	5667342	5488402	5386765	5303811	5147205	4743172	154	495569	5515568	57.15	151712	40938	198370.3	11	37	0
ERR3891063	284	98	68	62	50	31	5693887	5640867	5573622	5532736	5326734	4653492	112	350003	5650219	56.88	151846	34393	170530	12	42	0
ERR3891086	528	92	68	63	53	32	5735675	5617340	5559618	5524068	5334310	4626930	106	326186	5626504	56.93	151846	31083	158476	13	44	0
ERR3891170	737	83	48	43	38	33	5596640	5412736	5326349	5291618	5210024	5043362	127	462178	5441941	57.31	151873	62977	197783.7	11	31	0
ERR3891169	1084	80	49	44	39	34	5720884	5401346	5326442	5291802	5209816	5042724	178	462178	5464459	57.35	151922	62977	183536.2	12	32	0
ERR3891029	371	64	45	43	40	35	5506223	5432619	5395924	5380589	5327689	5139652	74	521997	5439230	57.35	152346	71229	191730.2	12	32	0
ERR3891141	888	83	59	56	47	34	5982033	5765980	5708793	5684585	5517680	5026823	96	325212	5774497	56.75	152346	41750	163356.1	13	38	0
ERR3891145	592	84	57	53	45	33	5878385	5724770	5662162	5632235	5484114	5026804	121	325634	5749587	56.79	152346	41740	165555.8	13	37	0
ERR3891193	664	80	54	48	43	38	5919300	5736408	5682528	5635672	5550154	5358140	130	521774	5770334	56.77	152346	55996	193525.6	12	35	0
ERR3891051	400	92	62	57	45	32	5803326	5724558	5656689	5618926	5404247	4914340	100	428490	5729440	56.79	152705	40276	178630.3	12	38	0
ERR3891180	802	113	65	57	44	33	5957621	5742911	5641974	5581850	5360898	4941355	182	329965	5787147	57.03	153414	40394	168489.7	13	39	0
ERR3891143	1226	91	59	51	43	32	5968219	5597076	5521984	5464177	5334150	4938331	212	458621	5671459	56.98	153638	39891	179485.2	12	36	0
ERR3891162	856	102	61	53	40	34	5707986	5477518	5400654	5344974	5121281	4927960	169	384703	5520743	57.25	156684	41235	182361.5	11	35	0
ERR3891108	322	89	61	55	45	31	5785016	5723421	5661964	5615029	5433251	4915618	99	377767	5730096	56.79	157339	40276	178151.6	12	37	0
ERR3891042	360	93	62	56	47	32	5805174	5730267	5655490	5609192	5460621	4923355	113	377768	5743891	56.77	157595	38556	168524	13	38	0
ERR3891054	1453	91	61	57	46	32	6097936	5726576	5658029	5625989	5425069	4915735	115	524730	5741710	56.77	157595	40276	187730.1	12	38	0
ERR3891062	533	93	63	55	45	33	5859042	5737525	5665761	5599358	5436320	5014983	113	376754	5750580	56.77	157595	41088	166753.5	13	37	0
ERR3891104	437	91	61	56	44	31	5823456	5732818	5663781	5622614	5408346	4919955	101	428622	5739702	56.79	157595	40276	182376.1	12	37	0
ERR3891174	558	81	56	50	42	35	5609508	5488092	5420722	5376280	5240660	4983675	107	395664	5503491	57.21	158052	50755	179791.2	11	35	0
ERR3891182	643	87	63	57	48	39	5788214	5637635	5594814	5543528	5389454	5100182	130	340588	5665040	57.04	159744	51821	158783.3	13	39	0
ERR3891001	720	117	64	57	46	38	5945427	5779061	5665888	5612223	5426895	5175653	161	340371	5807186	56.71	159788	34509	164990.3	13	40	0
ERR3891081	531	97	67	61	43	32	5650077	5529572	5463983	5423412	5136350	4757212	115	361269	5540882	57.26	160396	34550	159438.7	13	38	0
ERR3891185	376	66	51	48	46	34	5501424	5410997	5381679	5361073	5316311	4895666	83	353980	5421990	57.39	160784	55996	170574.4	12	34	0
ERR3891043	556	88	58	51	42	31	5795429	5665016	5598018	5548253	5395262	4985719	110	377768	5679032	56.84	160989	42232	180790.6	12	34	0
ERR3891076	1229	101	66	57	44	32	6079847	5769778	5691513	5620594	5421420	4993074	130	428912	5788276	56.76	160989	38563	180952.5	12	38	0
ERR3891172	1280	112	50	46	39	30	5890839	5478398	5374537	5346419	5222569	4898398	288	530437	5596790	57.21	161650	35294	207828.6	11	34	0
ERR3891103	813	103	68	58	47	30	6016636	5822950	5740849	5663439	5503439	4879606	122	359403	5835597	56.72	161840	37640	174009.9	13	39	0
ERR3891097	281	89	62	59	47	32	5676988	5627922	5567993	5542049	5347602	4833077	99	521086	5634668	56.95	161968	37640	192088.9	11	38	0
ERR3891022	970	101	58	51	39	34	5872017	5591841	5518447	5468241	5272978	5105819	191	497915	5651322	57.04	162202	51131	188058.6	12	34	0
ERR3891030	459	115	67	61	48	38	5913672	5817897	5716293	5667899	5441083	5133903	148	350622	5840044	56.67	162615	32342	156928.6	14	42	0
ERR3891153	1138	95	64	58	47	37	5929343	5653154	5587954	5543221	5372962	5067315	133	310122	5678732	57.04	162618	34509	154641.4	14	39	0
ERR3891068	389	92	62	58	46	32	5810725	5732989	5667416	5635383	5417433	4906698	103	521208	5740471	56.79	163074	37663	182397	12	39	0
ERR3891093	354	91	58	52	43	32	5780090	5707929	5630970	5581738	5433167	5025403	106	521086	5718117	56.79	163074	42232	201030	11	35	0
ERR3891115	289	89	62	56	45	30	5773185	5721864	5659132	5612197	5406901	4844917	99	524493	5728388	56.79	163074	38556	195599.3	11	38	0
ERR3891116	1717	93	61	57	48	32	6181696	5728228	5655005	5620275	5459090	4878008	134	377595	5754168	56.74	163074	38556	171447.4	12	39	0
ERR3891206	548	125	74	65	45	34	5903536	5817677	5701769	5639042	5305359	4939121	167	326846	5848072	56.61	165433	28449	160144.5	13	44	0
ERR3891072	448	77	52	48	39	28	5545027	5444044	5391115	5359237	5196027	4788743	91	428622	5452727	57.32	167270	41740	194278.4	11	31	0
ERR3891132	1093	94	58	52	41	33	6066110	5779307	5696117	5654718	5457570	5180829	132	492343	5803912	56.92	167616	39827	196953.9	12	35	0
ERR3891161	1218	236	71	61	42	30	6152514	5809269	5483000	5413930	5097783	4714511	403	509677	5923858	56.92	167660	13429	187942.2	11	55	0
ERR3891000	411	70	50	47	39	33	5467713	5380502	5331397	5309762	5182806	4987647	87	517739	5391533	57.43	168593	66968	197148.8	11	31	0
ERR3891011	475	94	64	56	47	38	5750580	5659632	5592782	5529736	5375316	5095529	115	340371	5673373	57.04	168655	37297	162647.8	13	39	0
ERR3891190	814	96	60	53	44	33	5728809	5543601	5465402	5412209	5260082	4896974	139	282989	5572973	56.87	169658	38051	162942.6	13	36	0
ERR3891099	355	76	53	50	41	36	5680538	5600652	5547077	5528838	5375361	5200965	93	366847	5611719	57.2	170561	62172	173186.5	12	34	0
ERR3891135	1021	58	42	42	38	33	5489161	5200242	5165093	5165093	5103791	4935413	111	368683	5234054	57.46	171969	70436	177861	12	30	0
ERR3891167	1042	119	69	57	45	33	6246834	5975572	5871281	5777030	5575000	5182817	196	459067	6027745	56.58	172412	31809	193063.9	11	40	0
ERR3891164	694	64	50	49	42	33	5549885	5362753	5336573	5328975	5221802	4955285	109	448465	5391505	57.35	172542	54640	184020.7	11	32	0
ERR3891106	1514	69	49	43	38	32	5616763	5216444	5177447	5130536	5040734	4823900	115	389816	5246446	57.56	172603	58897	181931.2	11	31	0
ERR3891010	428	79	58	50	41	35	5699004	5624071	5574456	5516086	5367520	5163604	92	305623	5632585	56.95	172731	63369	164833.7	13	34	0
ERR3891094	338	85	57	54	41	29	5801107	5734460	5673246	5649951	5418870	4961626	96	447179	5741739	56.79	172808	40994	197103.8	11	34	0
