Assembly,Spieces,ST,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N90,auN,L50,L90,# N's per 100 kbp,K_type,strain,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_type,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,gapA,infB,mdh,pgi,phoE,rpoB,tonB
ERR3891085,klebsiella,-,35725,1736,8,1,0,0,10234051,2935508,50488,10205,0,0,4254,10205,4703356,56.44,1232,612,1543.4,1210,3403,0,KL64?-+,ERR3891085,Klebsiella pneumoniae,strong,35725,413,10205,10234051,no,"total_size,N50",ST2096-1LV,0,2,7,9,-,0,-,0,-,0,-,0,-,0,-,-,unknown (KL64),unknown (K64),?-+,None,99.71%,"KL64_01_galF,KL64_03_wzi,KL64_07_wzx,KL64_08_wcoV,KL64_09,KL64_10_wzy,KL64_11_wcoU,KL64_12_wcoT,KL64_16_wcaJ,KL64_17_gnd,KL64_19_manB,KL64_22_rmlD,KL64_23_rmlC,KL64_24_ugd",O1/O2v1,O2a,?-,Good,98.63%,"O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO",aac(6')-Ib-cr.v2;sat-2,-,-,-,-,-,CatB4.v1?,-,-,-,-,dfrA1.v1;dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-156?,-,OXA-232?,-,-,OmpK35-36%;OmpK36-19%,-,GyrA-83Y;GyrA-87G;ParC-80I,SHV-28.v2?-88%,aadA2?-0%;aph(6)-Id.v2*?-0%;dfrA17?-0%;sul1?-56%,ST2096-1LV,-,6,1,1,1,46,1,110*-82%,100*-82%,-,-,-,-,-,-,41*-0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,irp2_162*-0%;fyuA_161*-0%;ybtQ_88*-0%;ybtE_105*-0%;ybtA_39*-0%;ybtU_13*-58%;ybtP_75*-0%;ybtU_52*-0%,gapA(330?),infB(6),mdh(1),pgi(1),phoE(1),rpoB(46),tonB(1)
ERR3891066,klebsiella,-,29337,1800,14,0,0,0,9542509,3093776,87642,0,0,0,4347,9001,4887701,56.21,1244,619,1599.7,1215,3471,0,KL64?-+,ERR3891066,Klebsiella pneumoniae,strong,29337,529,9001,9542509,no,"total_size,N50",ST2096-3LV,0,0,7,10,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,-,unknown (KL64),unknown (K64),?-+,None,99.08%,"KL64_01_galF,KL64_03_wzi,KL64_04_wza,KL64_06_wzc,KL64_13_wcsF,KL64_15_wbaZ,KL64_16_wcaJ,KL64_17_gnd,KL64_18_manC,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC,KL64_24_ugd",O1/O2v1,O2a,?-,Good,98.62%,"O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC",aadA2^;sat-2,-,-,-,-,mphE.v2^;msrE,CatB4.v1?,-,-,-,-,dfrA1.v1;dfrA12;dfrA14.v2*,OXA-1;TEM-1D.v1^,-,-,-,-,-,-,OmpK35-16%;OmpK36-56%,PmrB-42%,ParC-80I,SHV-106*?-0%;armA*?-0%;tet(D)?-0%,CTX-M-101?-0%;OXA-181?-71%;aac(3)-IIa.v1*?-0%;aac(6')-Ib-Suzhou*?-0%;aac(6')-Ib-cr.v1*?-0%;aadA5?-46%;aph3-Ia.v1*?-0%;ermB.v1*?-57%;mphA?-59%;sul1?-0%;tetR?-0%,ST2096-3LV,1,-,1,1,-,46,-,-,100,-,-,39*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,55-60%,-,-,ybtQ_88*-0%;ybtE_1*-0%;ybtU_52*-0%;ybtT_41*-0%;ybtS_110*-0%;ybtP_112*-0%;iucD_1*-0%;iutA_1*-0%;iucA_1*-52%;iucB_1*-0%,gapA(1),infB(218?),mdh(1),pgi(1),phoE(380?),rpoB(46),tonB(865?)
ERR3891113,klebsiella,-,30729,1863,6,0,0,0,9501524,3106466,37400,0,0,0,4331,8291,4844841,56.4,1256,622,1520.3,1253,3461,0,KL109?-,ERR3891113,Klebsiella pneumoniae,strong,30729,523,8291,9501524,no,"total_size,N50",ST643-2LV,0,0,1,0,-,0,-,0,-,0,-,0,-,0,-,wzi342,unknown (KL109),unknown (KL109),?-,None,98.44%,"KL109_06_wzc,KL109_13,KL109_14_manC,KL109_15_manB,KL109_17_gnd,KL109_18_rmlB,KL109_21,KL109_22_ugd",O1/O2v2,O2afg,?-,Good,98.49%,"O1/O2v2_06_wbbO,O1/O2v2_07_kfoC,O1/O2v2_08_gmlC",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-26,-,OmpK36-13%,MgrB-81%;PmrB-44%,-,aac(6')-Ib-cr.v2*?-82%,OXA-1?-0%;OXA-232?-0%;mphE.v1*?-0%,ST643-2LV,130*,3,6,75,9,-,137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,gapA(330?),infB(3),mdh(6),pgi(75),phoE(9),rpoB(353?),tonB(137)
ERR3891111,klebsiella,-,25253,1887,10,0,0,0,8755200,3218489,65548,0,0,0,4370,9944,4962791,56.56,1283,625,1587.1,1237,3483,0,KL64?-,ERR3891111,Klebsiella pneumoniae,strong,25253,646,9944,8755200,no,"total_size,N50",0,0,0,6,7,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,-,unknown (KL64),unknown (K64),?-,None,99.11%,"KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_06_wzc,KL64_08_wcoV,KL64_12_wcoT,KL64_15_wbaZ,KL64_19_manB,KL64_21_rmlA,KL64_22_rmlD",O1/O2v1,O1,none,Very high,98.64%,NA,armA*;sat-2?,-,-,-,-,mphE.v2^,-,-,-,-,-,dfrA1.v1;dfrA12;dfrA14.v2*,OXA-1,-,-,-,-,-,-,OmpK36-75%,PmrB-23%,GyrA-83Y;GyrA-87G;ParC-80I,aac(6')-Ib-cr.v2?-87%;aadA2*?-0%,CatB4.v1?-0%;OXA-181?-0%;SHV-106?-73%;msrE?-78%;sul1?-0%,0,1*,6,1,234*,-,184*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,55-60%,-,-,ybtP_112*-0%;fyuA_161*-0%;ybtE_132*-0%;ybtS_100*-59%;ybtU_52*-0%;ybtE_101*-49%;ybtQ_158*-0%;ybtT_4*-0%;ybtQ_1*-0%;ybtX_100*-0%;ybtU_13*-48%;ybtS_93*-0%;ybtT_42*-48%;ybtA_71*-0%;iutA_1*-70%;iucB_1*-55%,gapA(1?),infB(6),mdh(1),pgi(390?),phoE(380?),rpoB(350?),tonB(859?)
ERR3891119,klebsiella,-,23274,1914,14,0,0,0,8566988,3296941,83993,0,0,0,4441,8266,5072247,56.5,1295,619,1607.8,1243,3530,0,KL64?-+,ERR3891119,Klebsiella pneumoniae,strong,23274,695,8266,8566988,no,"total_size,N50",ST2096-1LV,0,3,10,11,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,-,unknown (KL64),unknown (K64),?-+,None,99.54%,"KL64_03_wzi,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_22_rmlD,KL64_24_ugd",O1/O2v1,O1,?-,Good,98.64%,"O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_04_glf",armA*;sat-2,-,-,-,-,mphE.v2^,CatB4.v1?,-,-,tet(D),-,dfrA1.v1;dfrA12;dfrA14.v2*,OXA-1,-,CTX-M-156?,-,OXA-232,-,-,OmpK35-34%;OmpK36GD,PmrB-54%,ParC-80I,catA1*?-0%,SHV-212?-0%;TEM-150?-0%;aac(6')-Ib-cr.v1*?-0%;aac(6')-Ib-cr.v2?-57%;aadA2*?-0%;msrE?-0%;sul1?-0%,ST2096-1LV,1,6,1,-,1,46,1,4,-,31*-0%,-,1,-,-,-,42*-87%,108*-0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55-60%,-,-,ybtP_112*-0%;fyuA_161*-0%;ybtU_13*-69%;ybtX_100*-55%;iutA_1*-0%;iucA_1*-0%;iucB_1*-0%;iucA_1*-0%;iucC_1*-0%,gapA(1),infB(6),mdh(1),pgi(401?),phoE(1),rpoB(46),tonB(1)
ERR3891047,klebsiella,-,22159,1983,16,1,0,0,8428226,3549701,112343,14722,0,0,4311,14722,5198298,56.56,1398,639,1749.5,1180,3393,0,KL64?-+,ERR3891047,Klebsiella pneumoniae,strong,22159,781,14722,8428226,no,"total_size,N50",ST2096-1LV,0,1,9,14,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,-,unknown (KL64),unknown (K64),?-+,None,98.97%,"KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_06_wzc,KL64_18_manC,KL64_19_manB,KL64_21_rmlA",O1/O2v1,O2a,none,Very high,98.64%,NA,aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2,-,-,-,-,mphE.v2^,CatB4.v1?;catA1^,-,sul1,-,-,dfrA1.v1;dfrA12;dfrA14.v2*,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,-,-,OmpK36-13%,PmrB-21%,ParC-80I,-,OXA-232?-0%;SHV-100*?-36%;SHV-212?-0%;msrE?-0%;tet(D)?-0%,ST2096-1LV,1,6,1,1,-,46,1,4*-0%,100,31,4*-0%,-,-,-,-,-,4*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1*-0%,-,-,1*,-,-,-,-,-,55-60%,-,-,fyuA_161*-0%;ybtT_42*-76%;ybtA_39*-68%;ybtU_52*-0%;ybtA_71*-0%;iutA_1*-0%;iucC_1*-0%;iucB_1*-56%,gapA(1),infB(6),mdh(1),pgi(1),phoE(590?),rpoB(46),tonB(1)
ERR3891060,klebsiella,-,23149,1951,23,0,0,0,8613702,3533573,134975,0,0,0,4203,7111,5125588,56.52,1417,642,1769.4,1129,3299,0,KL2?-+,ERR3891060,Klebsiella pneumoniae,strong,23149,734,7111,8613702,no,"total_size,N50",ST14-2LV,0,2,7,10,-,0,-,0,-,0,-,0,-,0,-,-,unknown (KL2),unknown (K2),?-+,None,99.26%,"KL2_01_galF,KL2_03_wzi,KL2_08,KL2_10,KL2_12,KL2_13,KL2_15_gnd,KL2_16_manC,KL2_17_manB,KL2_18_ugd",O1/O2v1,O2a,?-,Good,99.99%,"O1/O2v1_04_glf,O1/O2v1_07_kfoC",aac(6')-Ib-cr.v2;aph(3')-VI;armA;sat-2;strA.v1*,-,-,-,-,msrE,-,arr-2,-,-,-,dfrA12,OXA-1,-,-,-,NDM-1,-,-,OmpK36GD,-,ParC-80I,CatB4.v1?-86%;aac(3)-IId?-82%;dfrA1.v1?-90%;mphE.v2*?-0%;sul2?-82%,OXA-181*?-66%;aadA24*?-0%;aadA2?-0%;aph(6)-Id.v1?-0%;cmlA5?-0%;sul1?-47%,ST14-2LV,1*,6,1,1,1,1*,1,4*-0%,-,-,-,1,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,irp2_220*-0%;ybtP_120*-0%;ybtT_42*-75%;fyuA_161*-0%;ybtU_13*-56%,gapA(330?),infB(6),mdh(1),pgi(1),phoE(1),rpoB(253?),tonB(1)
ERR3891067,klebsiella,-,22955,2087,21,1,0,0,8697232,3799906,135767,10856,0,0,4362,10856,5404892,56.5,1457,643,1802.7,1177,3409,0,KL2?-+,ERR3891067,Klebsiella pneumoniae,strong,22955,813,10856,8697232,no,"total_size,N50",0,0,2,7,12,-,0,-,0,-,0,-,0,-,0,-,wzi2,unknown (KL2),unknown (K2),?-+,None,99.41%,"KL2_01_galF,KL2_02_cpsACP,KL2_11_wzx,KL2_12,KL2_13,KL2_15_gnd,KL2_16_manC",O1/O2v1,O1,?-,Good,99.96%,O1/O2v1_07_kfoC,aadA2^;aph(3')-VI;aph3-Ia.v1*?;armA;sat-2;strB.v1*,-,-,-,-,mphE.v2^,CatB4.v1?,-,-,-,-,dfrA1.v1;dfrA12,OXA-1?,-,-,-,OXA-232,-,-,OmpK35-16%;OmpK36GD,-,ParC-80I,aac(6')-Ib-cr.v2?-90%;sul2?-83%,CTX-M-103?-0%;NDM-1?-0%;SHV-129?-0%;TEM-105?-0%;aac(3)-IId?-66%;aadA24*?-0%;aadA?-0%;aph(3'')-Ib*?-42%;arr-2?-80%;cmlA5?-0%;ereA2*?-0%;msrE?-76%;strA.v1?-0%;sul1?-0%;tet(A).v1?-0%,0,-,6,268*,1,1*,1,-,-,-,-,-,-,-,-,52*-0%,-,4,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,irp2_228*-0%;ybtP_120*-65%;ybtT_42*-75%;ybtQ_1*-44%;ybtS_100*-42%;ybtA_39*-51%,gapA(330?),infB(6),mdh(461?),pgi(1),phoE(380?),rpoB(1),tonB(870?)
ERR3891049,klebsiella,-,19725,2078,24,0,0,0,8110843,3834763,140573,0,0,0,4214,7812,5355103,56.58,1498,666,1838.5,1129,3285,0,KL64?-,ERR3891049,Klebsiella pneumoniae,strong,19725,920,7812,8110843,no,"total_size,N50",0,0,0,6,10,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,wzi64,unknown (KL64),unknown (K64),?-,None,100.00%,"KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_09,KL64_11_wcoU,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_19_manB",unknown (O1/O2v1),unknown (O1),?-,None,98.66%,"O1/O2v1_01_wzm,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC",aac(6')-Ib-cr.v2;aadA2^;armA;sat-2,-,-,-,-,mphE.v2^;msrE,catA1^,-,-,-,-,dfrA1.v1;dfrA12,OXA-1,-,-,-,-,-,-,OmpK35-20%;OmpK36-20%,-,GyrA-83Y;GyrA-87G;ParC-80I,-,CatB4.v1?-0%;CatB4.v1?-53%;OXA-181?-0%;SHV-100*?-37%;SHV-212?-0%;sul1?-74%,0,1,6,1,256*,-,46*,1*,4,-,-,-,1,-,-,-,41*-0%,4,36*-81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1*,-,-,-,-,-,-,-,55-60%,-,-,irp1_245*-0%;ybtP_120*-68%;ybtX_100*-0%;ybtQ_88*-0%;ybtU_13*-52%;ybtU_52*-0%;iutA_1*-77%;iucA_1*-62%;iucC_1*-0%;iucD_1*-48%,gapA(1),infB(6),mdh(1),pgi(256?),phoE(380?),rpoB(46?),tonB(1?)
ERR3891061,klebsiella,-,18280,2001,46,1,0,0,7965142,3929137,284593,14050,0,0,4068,14050,5393554,56.55,1591,667,2038.4,1030,3138,0,KL64?-+,ERR3891061,Klebsiella pneumoniae,strong,18280,979,14050,7965142,no,"total_size,N50",ST2096-3LV,1,0,8,11,ybt unknown,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,wzi64,unknown (KL64),unknown (K64),?-+,None,98.45%,"KL64_01_galF,KL64_03_wzi,KL64_04_wza,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA",O1/O2v1,O1,?-,Good,98.60%,"O1/O2v1_03_wbbM,O1/O2v1_06_wbbO",aadA2^;armA*,-,-,-,-,mphE.v2^,CatB4.v1?;catA1^,-,sul1,tet(D),-,dfrA12;dfrA14.v2*,OXA-1;TEM-1D.v1^,-,-,-,-,-,-,OmpK36GD,-,GyrA-83Y;GyrA-87G;ParC-80I,aac(6')-Ib-cr.v2?-86%;sat-2?-0%,CTX-M-114?-0%;OXA-181?-0%;SHV-106?-42%;SHV-212?-0%;dfrA1.v1?-0%;dfrA1.v1?-52%;msrE?-0%,ST2096-3LV,1,145*,-,1*,1,46,1,4*-0%,100*-0%,-,-,39*,-,-,2,4,108*-0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,55-60%,-,-,irp1_245*-0%;fyuA_161*-0%;ybtP_120*-62%;ybtQ_88*-0%;iucD_1*-0%;iutA_1*-0%;iucB_1*-53%,gapA(1),infB(249?),mdh(461?),pgi(1?),phoE(1),rpoB(46),tonB(1)
ERR3891118,klebsiella,-,18761,2063,36,1,0,0,8020063,4011414,220653,10267,0,0,4022,10267,5405705,56.6,1626,677,2008.2,1037,3097,0,KL64?-+,ERR3891118,Klebsiella pneumoniae,strong,18761,1000,10267,8020063,no,"total_size,N50",ST2096-3LV,3,1,8,11,-,0,-,0,iuc unknown,0,-,0,-,0,-,wzi64,unknown (KL64),unknown (K64),?-+,None,100.00%,"KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_06_wzc,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_20_rmlB,KL64_22_rmlD",O1/O2v1,O1,none,Very high,98.64%,NA,aac(6')-Ib-cr.v2;armA;sat-2,-,-,-,-,mphE.v2^,CatB4.v1?;catA1^,-,-,-,-,dfrA1.v1;dfrA12;dfrA14.v2*,OXA-1,-,CTX-M-15,-,-,SHV-28.v1^,-,OmpK35-56%;OmpK36-86%,PmrB-18%,GyrA-83Y;GyrA-87G;ParC-80I,aadA2*?-0%;msrE?-84%,OXA-181?-49%;OXA-232?-0%;TEM-150?-0%;sul1?-66%,ST2096-3LV,1,6,1*,234*,1,46,-,4,-,-,169*,-,-,-,2*-0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1*-0%,-,1,-,-,-,-,-,-,-,-,irp1_245*-0%;irp2_220*-0%;ybtE_101*-61%;ybtA_39*-0%;ybtX_100*-0%;ybtQ_1*-44%;fyuA_108*-0%;ybtE_132*-0%;ybtT_42*-44%;ybtT_42*-0%;iutA_1*-0%;iucC_1*-0%;rmpA_55*-60%;rmpA_55*-0%,gapA(1),infB(6),mdh(457?),pgi(390?),phoE(1),rpoB(46),tonB(870?)
ERR3891098,klebsiella,-,17487,1984,44,2,0,0,7681889,3983431,282753,20957,0,0,3711,10727,5219288,57.1,1740,705,2146.7,942,2832,0,KL15?-+,ERR3891098,Klebsiella pneumoniae,strong,17487,1070,10727,7681889,no,"total_size,N50",ST340-1LV,0,3,6,6,-,0,-,0,-,0,-,0,-,0,-,wzi50,unknown (KL15),unknown (K15),?-+,None,99.22%,"KL15_01_galF,KL15_02_cpsACP,KL15_03_wzi,KL15_08_wceN,KL15_09_wceM,KL15_12_wzy,KL15_13_wckI,KL15_15_gnd,KL15_16_ugd",O4,O4,?-,Good,99.63%,"O4_03_hypothetical,O4_06_glycosyltransferase",aac(6')-Ib-cr.v2;aph(3')-VIb*;aph3-Ia.v1^,-,-,-,-,-,-,-,sul1,-,-,dfrA12,-,-,-,-,OXA-48,-,-,OmpK35-13%;OmpK36-34%,MgrB-4%,GyrA-83I;ParC-80I,CTX-M-9*?-0%;aadA2*?-0%,SHV-107?-0%;aph(6)-Id.v2?-0%;catA1*?-0%;dfrA1.v1?-72%;mphA?-0%;mphA?-54%;strA.v1?-60%;tet(A).v1?-0%;tet(A).v1?-57%,ST340-1LV,92*,3,1,1,1,1,18,6,-,20,-,-,-,-,2*-0%,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,irp2_220*-0%;fyuA_75*-68%;ybtA_71*-0%;ybtE_132*-0%;ybtP_134*-0%;ybtA_39*-50%;ybtX_100*-0%;ybtX_1*-0%,gapA(302?),infB(3),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(18)
ERR3891050,klebsiella,2096,12443,2083,87,4,0,0,7210081,4648933,597408,55569,0,0,3399,17464,5601805,56.71,2123,804,2698.3,813,2521,0,KL64?-+,ERR3891050,Klebsiella pneumoniae,strong,12443,1576,17464,7210081,no,"total_size,N50",ST2096,0,1,8,12,-,0,-,0,-,0,-,0,-,0,rmpA2_8-60%,-,unknown (KL64),unknown (K64),?-+,None,99.98%,"KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_17_gnd,KL64_19_manB,KL64_20_rmlB,KL64_22_rmlD,KL64_23_rmlC",O1/O2v1,O1,?-,Good,98.62%,O1/O2v1_02_wzt,aac(6')-Ib-cr.v2;aadA2^;armA,-,-,-,-,mphE.v2^;msrE,CatB4.v1?,-,sul1,-,-,dfrA1.v1;dfrA12,OXA-1;TEM-1D.v1^,-,CTX-M-15,-,-,SHV-28.v1^,-,OmpK36GD,-,GyrA-83Y;GyrA-87G;ParC-80I,catA1*?-0%,OXA-232?-0%;dfrA14.v1?-0%;dfrA14.v2*?-56%;sat-2?-68%;tet(D)?-0%,ST2096,1,6,1,1,1,46,1,110*-80%,-,31,4,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,55-60%,-,-,irp2_162*-0%;fyuA_161*-0%;ybtX_100*-0%;ybtU_52*-0%;ybtE_101*-55%;ybtE_132*-0%;iutA_1*-0%;iucA_1*-0%,gapA(1),infB(6),mdh(1),pgi(1),phoE(1),rpoB(46),tonB(1)
ERR3891091,klebsiella,110,1268,214,151,119,78,34,5858656,5587565,5428261,5187704,4452827,2929196,253,174354,5615424,56.77,57111,13902,63904.8,32,108,0,KL108*,ERR3891091,Klebsiella pneumoniae,strong,1268,49622,174354,5858656,no,-,ST110,0,2,9,19,-,0,-,0,-,0,-,0,-,0,-,wzi194,KL108,unknown (KL108),*,Very high,97.50%,NA,O1/O2v2,O1,none,Very high,98.49%,NA,aac(3)-IIg;aac(6')-IIc;aac(6')-Ib-cr.v2;sat-2;strB.v1,-,-,qnrB9.2^,-,-,CatB4.v1?;catII.2*,-,sul2,tet(A).v1,-,dfrA1.v1;dfrA14.v2*;dfrA30*,DHA-1*;OXA-1;TEM-1D.v1^,-,CTX-M-15;SHV-12,-,OXA-48,-,238S;240K;35Q,OmpK36-0%,-,-,ereA2*?-0%;strA.v1*?-0%,sul1*?-68%;sul1?-0%,ST110,2,6,1,3,8,1,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ybtT_42*-0%,gapA(2),infB(6),mdh(1),pgi(3),phoE(8),rpoB(1),tonB(44)
ERR3891222,klebsiella,48,656,262,121,91,60,41,6248841,6107201,5811474,5601396,5069455,4437931,379,247929,6188384,56.41,90955,11126,98743.2,22,89,0,KL124?-,ERR3891222,Klebsiella pneumoniae,strong,656,86417,247929,6248841,no,-,ST48,1,2,9,17,ybt 10; ICEKp4,81,-,0,-,0,-,0,-,0,-,wzi167,KL124,unknown (KL124),?-,Good,99.62%,KL124_16_gnd,O1/O2v1,O1,none,Very high,98.31%,NA,aac(3)-IIg;aac(6')-IIc;aadA*;aph(3')-Ia*?;sat-2*,-,-,qnrB4,-,-,CatB4.v1?;catA1^,-,sul1^,tet(A).v1,-,dfrA30*,DHA-1*;OXA-1;TEM-1D.v1^,-,CTX-M-15;SHV-12,-,OXA-48,-,238S;240K;35Q,-,-,GyrA-83F,OXA-9.v1*-42%;aac(6')-Ib'.v1?-0%;ereA2*?-0%,-,ST48,2,5,2,2,7,1,10,3,12,4,19,3,42,39,3,10,9,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,gapA(2),infB(5),mdh(2),pgi(2),phoE(7),rpoB(1),tonB(10)
ERR3891037,klebsiella,-,1052,309,106,75,52,35,6041444,5754089,5302881,5093415,4693120,4137525,470,404383,5869710,56.95,93909,5178,116629.3,19,103,0,KL18,ERR3891037,Klebsiella pneumoniae,strong,1052,93352,404383,6041444,no,-,ST20-1LV,1,2,7,13,ybt 14; ICEKp5 (truncated),140-5LV,-,0,-,0,-,0,-,0,-,-,KL18,K18,none,Very high,98.87%,NA,O1/O2v1,O1,none,Very high,98.31%,NA,aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;sat-2;strA.v1^;strB.v1,-,-,qnrB1.v2^,-,-,-,-,sul1;sul2,-,-,dfrA1.v1?;dfrA14.v2*,TEM-1D.v1^,-,CTX-M-15,-,OXA-232,SHV-187,-,OmpK36-75%,-,-,-,OXA-1?-0%;OXA-1?-44%;aadA8b*?-67%;dfrA12*?-0%,ST20-1LV,2,3,1,1,4,4,4*,4,100,31,4*,1,67*,171,2,4,146*-0%,36*-88%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,iucD_1*-0%;iucA_1*-0%,gapA(2),infB(3),mdh(1),pgi(1),phoE(4),rpoB(4),tonB(~4)
ERR3891209,klebsiella,14,382,142,89,75,62,39,5851418,5804552,5682376,5572740,5350171,4524722,158,325142,5815967,56.77,95648,29959,120566.2,18,58,0,KL2?-,ERR3891209,Klebsiella pneumoniae,strong,382,94760,325142,5851418,no,-,ST14,1,2,9,24,ybt 14; ICEKp5,140-1LV,-,0,-,0,-,0,-,0,-,wzi2,KL2,K2,?-,Good,99.74%,KL2_14_wcaJ,O1/O2v1,O1,none,Very high,99.99%,NA,aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*;aadA2^;aph(3')-VI;armA;sat-2;strA.v1*;strB.v1*,-,-,-,-,ereA2*;mphE.v2^;msrE,CatB4.v1?;catA1^;cmlA5,arr-2,sul1*;sul2,-,-,dfrA1.v1;dfrA12,OXA-1;TEM-1D.v1^,-,-,-,NDM-1;OXA-48,-,-,OmpK36GD,-,GyrA-83Y;GyrA-87G;ParC-80I,CTX-M-15?-0%;SHV-11.v1*?-0%,-,ST14,1,6,1,1,1,1,1,4,4,31,4,1,67,514,2,4,4,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,gapA(1),infB(6),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(1)
